"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 23 14:53:49 GMT 2025","Sun Mar 23 14:53:50 GMT 2025","803","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial","GET /collection by material",""
"passed","Sun Mar 23 14:53:43 GMT 2025","Sun Mar 23 14:53:45 GMT 2025","2052","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByInvolvedMaker","GET /collection by involvedMaker",""
"passed","Sun Mar 23 14:53:53 GMT 2025","Sun Mar 23 14:53:54 GMT 2025","964","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionDetailsTests","com.rijksmuseum.api.tests.CollectionDetailsTests","getCollectionDetailsByObjectNumber","GET /collection - get collection details by objectNumber",""
"passed","Sun Mar 23 14:53:45 GMT 2025","Sun Mar 23 14:53:46 GMT 2025","744","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByInvolvedMaker","GET /collection by involvedMaker",""
"passed","Sun Mar 23 14:53:47 GMT 2025","Sun Mar 23 14:53:48 GMT 2025","932","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial","GET /collection by material",""
"failed","Sun Mar 23 14:53:45 GMT 2025","Sun Mar 23 14:53:45 GMT 2025","790","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByInvolvedMaker","GET /collection by involvedMaker",""
"failed","Sun Mar 23 14:53:50 GMT 2025","Sun Mar 23 14:53:51 GMT 2025","743","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByTwoParams","GET /collection by more than one parameter",""
"passed","Sun Mar 23 14:53:46 GMT 2025","Sun Mar 23 14:53:47 GMT 2025","743","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial","GET /collection by material",""
"passed","Sun Mar 23 14:53:51 GMT 2025","Sun Mar 23 14:53:53 GMT 2025","1705","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionWithDefaultParam","GET /collection with required key only",""
"passed","Sun Mar 23 14:53:48 GMT 2025","Sun Mar 23 14:53:49 GMT 2025","1583","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial","GET /collection by material",""
"failed","Sun Mar 23 14:53:53 GMT 2025","Sun Mar 23 14:53:53 GMT 2025","707","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionWithExceededPageSize","GET /collection - Verify that page * pageSize cannot exceed 10,000",""
