"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1744","GET /collection by material","Surefire suite","Sat Mar 22 19:33:12 GMT 2025","failed","Sat Mar 22 19:33:14 GMT 2025","com.rijksmuseum.api.tests.CollectionTests","Surefire test","com.rijksmuseum.api.tests.CollectionTests","getCollectionBy11111111"
"","794","GET /collection by involvedMaker","Surefire suite","Sat Mar 22 19:33:14 GMT 2025","failed","Sat Mar 22 19:33:15 GMT 2025","com.rijksmuseum.api.tests.CollectionTests","Surefire test","com.rijksmuseum.api.tests.CollectionTests","getCollectionByInvolvedMaker"
"","722","GET /collection by material","Surefire suite","Sat Mar 22 19:33:16 GMT 2025","passed","Sat Mar 22 19:33:17 GMT 2025","com.rijksmuseum.api.tests.CollectionTests","Surefire test","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial"
"","1335","GET /collection by material","Surefire suite","Sat Mar 22 19:33:17 GMT 2025","passed","Sat Mar 22 19:33:18 GMT 2025","com.rijksmuseum.api.tests.CollectionTests","Surefire test","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial"
"","1566","GET /collection with required key only","Surefire suite","Sat Mar 22 19:33:21 GMT 2025","passed","Sat Mar 22 19:33:23 GMT 2025","com.rijksmuseum.api.tests.CollectionTests","Surefire test","com.rijksmuseum.api.tests.CollectionTests","getCollectionWithDefaultParam"
"","2538","GET /collection by material","Surefire suite","Sat Mar 22 19:33:18 GMT 2025","passed","Sat Mar 22 19:33:21 GMT 2025","com.rijksmuseum.api.tests.CollectionTests","Surefire test","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial"
"","552","GET /collection by material","Surefire suite","Sat Mar 22 19:33:16 GMT 2025","passed","Sat Mar 22 19:33:16 GMT 2025","com.rijksmuseum.api.tests.CollectionTests","Surefire test","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial"
"","551","GET /collection by involvedMaker","Surefire suite","Sat Mar 22 19:33:15 GMT 2025","passed","Sat Mar 22 19:33:16 GMT 2025","com.rijksmuseum.api.tests.CollectionTests","Surefire test","com.rijksmuseum.api.tests.CollectionTests","getCollectionByInvolvedMaker"
"","687","GET /collection by involvedMaker","Surefire suite","Sat Mar 22 19:33:14 GMT 2025","passed","Sat Mar 22 19:33:14 GMT 2025","com.rijksmuseum.api.tests.CollectionTests","Surefire test","com.rijksmuseum.api.tests.CollectionTests","getCollectionByInvolvedMaker"
"","253","getCollectionDetailsByObjectNumber","Surefire suite","Sat Mar 22 19:33:23 GMT 2025","passed","Sat Mar 22 19:33:23 GMT 2025","com.rijksmuseum.api.tests.CollectionDetailsTests","Surefire test","com.rijksmuseum.api.tests.CollectionDetailsTests","getCollectionDetailsByObjectNumber"
