"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","RM-1 RM API: GetCollections","3","0","7","0","0"
"","","RM-2 RM API: GetCollectionDetails","0","0","1","0","0"
