"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 23 18:26:26 GMT 2025","Sun Mar 23 18:26:27 GMT 2025","1565","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionWithDefaultParam","GET /collection with required key only",""
"failed","Sun Mar 23 18:26:27 GMT 2025","Sun Mar 23 18:26:27 GMT 2025","198","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionWithExceededPageSize","GET /collection - Verify that page * pageSize cannot exceed 10,000",""
"failed","Sun Mar 23 18:26:18 GMT 2025","Sun Mar 23 18:26:19 GMT 2025","595","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByInvolvedMaker","GET /collection by involvedMaker",""
"passed","Sun Mar 23 18:26:23 GMT 2025","Sun Mar 23 18:26:25 GMT 2025","1581","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial","GET /collection by material",""
"passed","Sun Mar 23 18:26:19 GMT 2025","Sun Mar 23 18:26:20 GMT 2025","483","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial","GET /collection by material",""
"failed","Sun Mar 23 18:26:25 GMT 2025","Sun Mar 23 18:26:26 GMT 2025","480","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByTwoParams","GET /collection by more than one parameter",""
"passed","Sun Mar 23 18:26:20 GMT 2025","Sun Mar 23 18:26:23 GMT 2025","3008","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial","GET /collection by material",""
"passed","Sun Mar 23 18:26:19 GMT 2025","Sun Mar 23 18:26:19 GMT 2025","477","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByInvolvedMaker","GET /collection by involvedMaker",""
"passed","Sun Mar 23 18:26:27 GMT 2025","Sun Mar 23 18:26:28 GMT 2025","540","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionDetailsTests","com.rijksmuseum.api.tests.CollectionDetailsTests","getCollectionDetailsByObjectNumber","GET /collection/{object-number} - get collection details by objectNumber",""
"passed","Sun Mar 23 18:26:16 GMT 2025","Sun Mar 23 18:26:18 GMT 2025","1865","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByInvolvedMaker","GET /collection by involvedMaker",""
"passed","Sun Mar 23 18:26:20 GMT 2025","Sun Mar 23 18:26:20 GMT 2025","649","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial","GET /collection by material",""
