"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Mar 22 19:49:15 GMT 2025","Sat Mar 22 19:49:17 GMT 2025","1747","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionBy11111111","GET /collection by material",""
"passed","Sat Mar 22 19:49:26 GMT 2025","Sat Mar 22 19:49:26 GMT 2025","483","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionDetailsTests","com.rijksmuseum.api.tests.CollectionDetailsTests","getCollectionDetailsByObjectNumber","getCollectionDetailsByObjectNumber",""
"passed","Sat Mar 22 19:49:22 GMT 2025","Sat Mar 22 19:49:23 GMT 2025","1266","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial","GET /collection by material",""
"passed","Sat Mar 22 19:49:18 GMT 2025","Sat Mar 22 19:49:21 GMT 2025","2653","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByInvolvedMaker","GET /collection by involvedMaker",""
"passed","Sat Mar 22 19:49:21 GMT 2025","Sat Mar 22 19:49:21 GMT 2025","487","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial","GET /collection by material",""
"passed","Sat Mar 22 19:49:23 GMT 2025","Sat Mar 22 19:49:24 GMT 2025","505","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial","GET /collection by material",""
"failed","Sat Mar 22 19:49:18 GMT 2025","Sat Mar 22 19:49:18 GMT 2025","538","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByInvolvedMaker","GET /collection by involvedMaker",""
"passed","Sat Mar 22 19:49:17 GMT 2025","Sat Mar 22 19:49:18 GMT 2025","659","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByInvolvedMaker","GET /collection by involvedMaker",""
"passed","Sat Mar 22 19:49:24 GMT 2025","Sat Mar 22 19:49:25 GMT 2025","1469","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionWithDefaultParam","GET /collection with required key only",""
"passed","Sat Mar 22 19:49:21 GMT 2025","Sat Mar 22 19:49:22 GMT 2025","653","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial","GET /collection by material",""
