"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","904","GET /collection by material","Surefire suite","Sat Mar 22 19:27:13 GMT 2025","passed","Sat Mar 22 19:27:14 GMT 2025","com.rijksmuseum.api.tests.CollectionTests","Surefire test","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial"
"","2481","getCollectionDetailsByObjectNumber","Surefire suite","Sat Mar 22 19:27:18 GMT 2025","passed","Sat Mar 22 19:27:21 GMT 2025","com.rijksmuseum.api.tests.CollectionDetailsTests","Surefire test","com.rijksmuseum.api.tests.CollectionDetailsTests","getCollectionDetailsByObjectNumber"
"","1852","GET /collection by material","Surefire suite","Sat Mar 22 19:27:08 GMT 2025","failed","Sat Mar 22 19:27:10 GMT 2025","com.rijksmuseum.api.tests.CollectionTests","Surefire test","com.rijksmuseum.api.tests.CollectionTests","getCollectionBy11111111"
"","1506","GET /collection by material","Surefire suite","Sat Mar 22 19:27:14 GMT 2025","passed","Sat Mar 22 19:27:15 GMT 2025","com.rijksmuseum.api.tests.CollectionTests","Surefire test","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial"
"","837","GET /collection by involvedMaker","Surefire suite","Sat Mar 22 19:27:11 GMT 2025","passed","Sat Mar 22 19:27:12 GMT 2025","com.rijksmuseum.api.tests.CollectionTests","Surefire test","com.rijksmuseum.api.tests.CollectionTests","getCollectionByInvolvedMaker"
"","1692","GET /collection with required key only","Surefire suite","Sat Mar 22 19:27:16 GMT 2025","passed","Sat Mar 22 19:27:18 GMT 2025","com.rijksmuseum.api.tests.CollectionTests","Surefire test","com.rijksmuseum.api.tests.CollectionTests","getCollectionWithDefaultParam"
"","753","GET /collection by involvedMaker","Surefire suite","Sat Mar 22 19:27:11 GMT 2025","failed","Sat Mar 22 19:27:11 GMT 2025","com.rijksmuseum.api.tests.CollectionTests","Surefire test","com.rijksmuseum.api.tests.CollectionTests","getCollectionByInvolvedMaker"
"","879","GET /collection by involvedMaker","Surefire suite","Sat Mar 22 19:27:10 GMT 2025","passed","Sat Mar 22 19:27:11 GMT 2025","com.rijksmuseum.api.tests.CollectionTests","Surefire test","com.rijksmuseum.api.tests.CollectionTests","getCollectionByInvolvedMaker"
"","777","GET /collection by material","Surefire suite","Sat Mar 22 19:27:15 GMT 2025","passed","Sat Mar 22 19:27:16 GMT 2025","com.rijksmuseum.api.tests.CollectionTests","Surefire test","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial"
"","771","GET /collection by material","Surefire suite","Sat Mar 22 19:27:12 GMT 2025","passed","Sat Mar 22 19:27:13 GMT 2025","com.rijksmuseum.api.tests.CollectionTests","Surefire test","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial"
