"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 23 16:10:39 GMT 2025","Sun Mar 23 16:10:40 GMT 2025","889","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial","GET /collection by material",""
"passed","Sun Mar 23 16:10:38 GMT 2025","Sun Mar 23 16:10:39 GMT 2025","707","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial","GET /collection by material",""
"passed","Sun Mar 23 16:10:37 GMT 2025","Sun Mar 23 16:10:38 GMT 2025","669","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByInvolvedMaker","GET /collection by involvedMaker",""
"failed","Sun Mar 23 16:10:44 GMT 2025","Sun Mar 23 16:10:44 GMT 2025","661","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionWithExceededPageSize","GET /collection - Verify that page * pageSize cannot exceed 10,000",""
"passed","Sun Mar 23 16:10:34 GMT 2025","Sun Mar 23 16:10:37 GMT 2025","2132","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByInvolvedMaker","GET /collection by involvedMaker",""
"passed","Sun Mar 23 16:10:40 GMT 2025","Sun Mar 23 16:10:41 GMT 2025","1477","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial","GET /collection by material",""
"passed","Sun Mar 23 16:10:41 GMT 2025","Sun Mar 23 16:10:41 GMT 2025","299","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial","GET /collection by material",""
"passed","Sun Mar 23 16:10:44 GMT 2025","Sun Mar 23 16:10:46 GMT 2025","2025","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionDetailsTests","com.rijksmuseum.api.tests.CollectionDetailsTests","getCollectionDetailsByObjectNumber","GET /collection/{object-number} - get collection details by objectNumber",""
"failed","Sun Mar 23 16:10:37 GMT 2025","Sun Mar 23 16:10:37 GMT 2025","766","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByInvolvedMaker","GET /collection by involvedMaker",""
"passed","Sun Mar 23 16:10:42 GMT 2025","Sun Mar 23 16:10:44 GMT 2025","1633","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionWithDefaultParam","GET /collection with required key only",""
"failed","Sun Mar 23 16:10:41 GMT 2025","Sun Mar 23 16:10:42 GMT 2025","659","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByTwoParams","GET /collection by more than one parameter",""
