"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","RM-1 RM API: GetCollections","6","0","16","0","0"
"","","RM-2 RM API: GetCollectionDetails","1","0","1","0","0"
