"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 01 15:44:31 GMT 2025","Tue Apr 01 15:44:32 GMT 2025","182","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionWithInvalidApiKey","GET /collection with invalid API key",""
"failed","Tue Apr 01 15:44:33 GMT 2025","Tue Apr 01 15:44:34 GMT 2025","699","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionDetailsTests","com.rijksmuseum.api.tests.CollectionDetailsTests","getCollectionDetailsWithInvalidObjectNumber","GET /collection/{object-number} - invalid object number returns error",""
"passed","Tue Apr 01 15:44:25 GMT 2025","Tue Apr 01 15:44:25 GMT 2025","535","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByPeriod","GET /collection by dating period",""
"passed","Tue Apr 01 15:44:22 GMT 2025","Tue Apr 01 15:44:22 GMT 2025","767","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByObjectType","GET /collection by object type",""
"failed","Tue Apr 01 15:44:21 GMT 2025","Tue Apr 01 15:44:22 GMT 2025","751","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMultipleMaterials","GET /collection by multiple materials",""
"passed","Tue Apr 01 15:44:20 GMT 2025","Tue Apr 01 15:44:21 GMT 2025","766","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial","GET /collection by material",""
"passed","Tue Apr 01 15:44:28 GMT 2025","Tue Apr 01 15:44:28 GMT 2025","586","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByTechnique","GET /collection by technique",""
"passed","Tue Apr 01 15:44:24 GMT 2025","Tue Apr 01 15:44:24 GMT 2025","551","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByObjectType","GET /collection by object type",""
"passed","Tue Apr 01 15:44:25 GMT 2025","Tue Apr 01 15:44:27 GMT 2025","1665","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByPeriod","GET /collection by dating period",""
"passed","Tue Apr 01 15:44:18 GMT 2025","Tue Apr 01 15:44:20 GMT 2025","2028","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial","GET /collection by material",""
"passed","Tue Apr 01 15:44:12 GMT 2025","Tue Apr 01 15:44:14 GMT 2025","2573","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByInvolvedMaker","GET /collection by involvedMaker",""
"failed","Tue Apr 01 15:44:14 GMT 2025","Tue Apr 01 15:44:15 GMT 2025","871","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByInvolvedMaker","GET /collection by involvedMaker",""
"passed","Tue Apr 01 15:44:22 GMT 2025","Tue Apr 01 15:44:24 GMT 2025","1362","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByObjectType","GET /collection by object type",""
"passed","Tue Apr 01 15:44:15 GMT 2025","Tue Apr 01 15:44:16 GMT 2025","813","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByInvolvedMaker","GET /collection by involvedMaker",""
"failed","Tue Apr 01 15:44:28 GMT 2025","Tue Apr 01 15:44:29 GMT 2025","696","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByTechnique","GET /collection by technique",""
"passed","Tue Apr 01 15:44:30 GMT 2025","Tue Apr 01 15:44:31 GMT 2025","1255","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionWithDefaultParam","GET /collection with required key only",""
"failed","Tue Apr 01 15:44:27 GMT 2025","Tue Apr 01 15:44:28 GMT 2025","726","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByTechnique","GET /collection by technique",""
"passed","Tue Apr 01 15:44:32 GMT 2025","Tue Apr 01 15:44:32 GMT 2025","237","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionWithNonexistentMaterial","GET /collection with non-existent material",""
"passed","Tue Apr 01 15:44:16 GMT 2025","Tue Apr 01 15:44:17 GMT 2025","773","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial","GET /collection by material",""
"failed","Tue Apr 01 15:44:31 GMT 2025","Tue Apr 01 15:44:31 GMT 2025","267","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionWithExceededPageSize","GET /collection - Verify that page * pageSize cannot exceed 10,000",""
