"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 23 12:23:42 GMT 2025","Sun Mar 23 12:23:44 GMT 2025","2177","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByInvolvedMaker","GET /collection by involvedMaker",""
"passed","Sun Mar 23 12:23:47 GMT 2025","Sun Mar 23 12:23:48 GMT 2025","1080","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial","GET /collection by material",""
"passed","Sun Mar 23 12:23:46 GMT 2025","Sun Mar 23 12:23:47 GMT 2025","788","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial","GET /collection by material",""
"passed","Sun Mar 23 12:23:54 GMT 2025","Sun Mar 23 12:23:55 GMT 2025","329","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionDetailsTests","com.rijksmuseum.api.tests.CollectionDetailsTests","getCollectionDetailsByObjectNumber","getCollectionDetailsByObjectNumber",""
"failed","Sun Mar 23 12:23:53 GMT 2025","Sun Mar 23 12:23:54 GMT 2025","709","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionWithExceededPageSize","GET /collection - Verify that page * pageSize cannot exceed 10,000",""
"failed","Sun Mar 23 12:23:44 GMT 2025","Sun Mar 23 12:23:45 GMT 2025","857","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByInvolvedMaker","GET /collection by involvedMaker",""
"passed","Sun Mar 23 12:23:51 GMT 2025","Sun Mar 23 12:23:53 GMT 2025","1750","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionWithDefaultParam","GET /collection with required key only",""
"passed","Sun Mar 23 12:23:50 GMT 2025","Sun Mar 23 12:23:50 GMT 2025","759","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial","GET /collection by material",""
"failed","Sun Mar 23 12:23:50 GMT 2025","Sun Mar 23 12:23:51 GMT 2025","770","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByTwoParams","GET /collection by more than one parameter",""
"passed","Sun Mar 23 12:23:45 GMT 2025","Sun Mar 23 12:23:46 GMT 2025","752","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByInvolvedMaker","GET /collection by involvedMaker",""
"passed","Sun Mar 23 12:23:48 GMT 2025","Sun Mar 23 12:23:50 GMT 2025","1524","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial","GET /collection by material",""
