"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 23 15:43:01 GMT 2025","Sun Mar 23 15:43:02 GMT 2025","754","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial","GET /collection by material",""
"passed","Sun Mar 23 15:43:08 GMT 2025","Sun Mar 23 15:43:10 GMT 2025","1175","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionDetailsTests","com.rijksmuseum.api.tests.CollectionDetailsTests","getCollectionDetailsByObjectNumber","GET /collection/{object-number} - get collection details by objectNumber",""
"passed","Sun Mar 23 15:43:03 GMT 2025","Sun Mar 23 15:43:04 GMT 2025","1672","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial","GET /collection by material",""
"failed","Sun Mar 23 15:43:05 GMT 2025","Sun Mar 23 15:43:06 GMT 2025","764","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByTwoParams","GET /collection by more than one parameter",""
"passed","Sun Mar 23 15:43:04 GMT 2025","Sun Mar 23 15:43:05 GMT 2025","745","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial","GET /collection by material",""
"passed","Sun Mar 23 15:43:00 GMT 2025","Sun Mar 23 15:43:01 GMT 2025","752","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByInvolvedMaker","GET /collection by involvedMaker",""
"passed","Sun Mar 23 15:43:06 GMT 2025","Sun Mar 23 15:43:08 GMT 2025","1769","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionWithDefaultParam","GET /collection with required key only",""
"passed","Sun Mar 23 15:43:02 GMT 2025","Sun Mar 23 15:43:03 GMT 2025","955","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial","GET /collection by material",""
"failed","Sun Mar 23 15:43:08 GMT 2025","Sun Mar 23 15:43:08 GMT 2025","714","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionWithExceededPageSize","GET /collection - Verify that page * pageSize cannot exceed 10,000",""
"failed","Sun Mar 23 15:42:59 GMT 2025","Sun Mar 23 15:43:00 GMT 2025","802","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByInvolvedMaker","GET /collection by involvedMaker",""
"passed","Sun Mar 23 15:42:57 GMT 2025","Sun Mar 23 15:42:59 GMT 2025","2144","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByInvolvedMaker","GET /collection by involvedMaker",""
