"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Mar 23 14:08:12 GMT 2025","Sun Mar 23 14:08:13 GMT 2025","804","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByInvolvedMaker","GET /collection by involvedMaker",""
"passed","Sun Mar 23 14:08:13 GMT 2025","Sun Mar 23 14:08:14 GMT 2025","739","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByInvolvedMaker","GET /collection by involvedMaker",""
"failed","Sun Mar 23 14:08:20 GMT 2025","Sun Mar 23 14:08:24 GMT 2025","3736","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionWithExceededPageSize","GET /collection - Verify that page * pageSize cannot exceed 10,000",""
"passed","Sun Mar 23 14:08:14 GMT 2025","Sun Mar 23 14:08:15 GMT 2025","725","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial","GET /collection by material",""
"broken","Sun Mar 23 14:08:24 GMT 2025","Sun Mar 23 14:08:25 GMT 2025","730","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionDetailsTests","com.rijksmuseum.api.tests.CollectionDetailsTests","getCollectionDetailsByObjectNumber","GET /collection",""
"passed","Sun Mar 23 14:08:19 GMT 2025","Sun Mar 23 14:08:20 GMT 2025","1736","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionWithDefaultParam","GET /collection with required key only",""
"passed","Sun Mar 23 14:08:16 GMT 2025","Sun Mar 23 14:08:17 GMT 2025","1541","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial","GET /collection by material",""
"failed","Sun Mar 23 14:08:18 GMT 2025","Sun Mar 23 14:08:19 GMT 2025","751","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByTwoParams","GET /collection by more than one parameter",""
"passed","Sun Mar 23 14:08:17 GMT 2025","Sun Mar 23 14:08:18 GMT 2025","768","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial","GET /collection by material",""
"passed","Sun Mar 23 14:08:15 GMT 2025","Sun Mar 23 14:08:15 GMT 2025","936","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByMaterial","GET /collection by material",""
"passed","Sun Mar 23 14:08:10 GMT 2025","Sun Mar 23 14:08:12 GMT 2025","2166","Surefire suite","Surefire test","com.rijksmuseum.api.tests.CollectionTests","com.rijksmuseum.api.tests.CollectionTests","getCollectionByInvolvedMaker","GET /collection by involvedMaker",""
